구분,건수,죄종결과
중부,4,살인발생
중부,4,살인검거
중부,3,강도발생
중부,3,강도검거
중부,109,강간발생
중부,57,강간검거
중부,765,절도발생
중부,426,절도검거
중부,945,폭력발생
중부,801,폭력검거
종로,3,살인발생
종로,0,살인검거
종로,2,강도발생
종로,2,강도검거
종로,88,강간발생
종로,59,강간검거
종로,513,절도발생
종로,234,절도검거
종로,815,폭력발생
종로,663,폭력검거
남대문,2,살인발생
남대문,2,살인검거
남대문,3,강도발생
남대문,3,강도검거
남대문,52,강간발생
남대문,40,강간검거
남대문,514,절도발생
남대문,313,절도검거
남대문,464,폭력발생
남대문,423,폭력검거
서대문,3,살인발생
서대문,3,살인검거
서대문,2,강도발생
서대문,2,강도검거
서대문,137,강간발생
서대문,120,강간검거
서대문,1027,절도발생
서대문,562,절도검거
서대문,1109,폭력발생
서대문,907,폭력검거
혜화,3,살인발생
혜화,3,살인검거
혜화,2,강도발생
혜화,2,강도검거
혜화,68,강간발생
혜화,43,강간검거
혜화,566,절도발생
혜화,270,절도검거
혜화,652,폭력발생
혜화,525,폭력검거
용산,3,살인발생
용산,2,살인검거
용산,1,강도발생
용산,1,강도검거
용산,141,강간발생
용산,103,강간검거
용산,945,절도발생
용산,484,절도검거
용산,1291,폭력발생
용산,1069,폭력검거
성북,3,살인발생
성북,2,살인검거
성북,0,강도발생
성북,0,강도검거
성북,78,강간발생
성북,56,강간검거
성북,391,절도발생
성북,190,절도검거
성북,610,폭력발생
성북,537,폭력검거
동대문,3,살인발생
동대문,4,살인검거
동대문,7,강도발생
동대문,8,강도검거
동대문,169,강간발생
동대문,147,강간검거
동대문,1240,절도발생
동대문,659,절도검거
동대문,1540,폭력발생
동대문,1295,폭력검거
마포,4,살인발생
마포,3,살인검거
마포,4,강도발생
마포,4,강도검거
마포,321,강간발생
마포,275,강간검거
마포,1510,절도발생
마포,730,절도검거
마포,1701,폭력발생
마포,1367,폭력검거
영등포,8,살인발생
영등포,8,살인검거
영등포,11,강도발생
영등포,11,강도검거
영등포,279,강간발생
영등포,196,강간검거
영등포,1712,절도발생
영등포,831,절도검거
영등포,2169,폭력발생
영등포,1731,폭력검거
성동,3,살인발생
성동,4,살인검거
성동,4,강도발생
성동,1,강도검거
성동,110,강간발생
성동,82,강간검거
성동,905,절도발생
성동,497,절도검거
성동,1090,폭력발생
성동,926,폭력검거
동작,2,살인발생
동작,3,살인검거
동작,1,강도발생
동작,1,강도검거
동작,180,강간발생
동작,94,강간검거
동작,1129,절도발생
동작,675,절도검거
동작,1319,폭력발생
동작,1056,폭력검거
광진,5,살인발생
광진,3,살인검거
광진,4,강도발생
광진,4,강도검거
광진,208,강간발생
광진,161,강간검거
광진,1414,절도발생
광진,754,절도검거
광진,1456,폭력발생
광진,1280,폭력검거
서부,2,살인발생
서부,3,살인검거
서부,1,강도발생
서부,1,강도검거
서부,66,강간발생
서부,50,강간검거
서부,706,절도발생
서부,400,절도검거
서부,782,폭력발생
서부,677,폭력검거
강북,4,살인발생
강북,4,살인검거
강북,1,강도발생
강북,1,강도검거
강북,136,강간발생
강북,115,강간검거
강북,777,절도발생
강북,537,절도검거
강북,1383,폭력발생
강북,1255,폭력검거
금천,7,살인발생
금천,6,살인검거
금천,3,강도발생
금천,4,강도검거
금천,134,강간발생
금천,103,강간검거
금천,1013,절도발생
