,관서명,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거,구별,위도,경도
0,중부,4,4,3,3,109,57,765,426,945,801,중구,37.56361812722828,126.98958691395208
1,종로,3,0,2,2,88,59,513,234,815,663,종로구,37.57185082446809,126.98417036713045
2,남대문,2,2,3,3,52,40,514,313,464,423,중구,37.55477683026614,126.97349503706043
3,서대문,3,3,2,2,137,120,1027,562,1109,907,서대문구,37.5649023404956,126.966790740735
4,혜화,3,3,2,2,68,43,566,270,652,525,종로구,37.5718915247338,126.998935936567
5,용산,3,2,1,1,141,103,945,484,1291,1069,용산구,37.54117933635974,126.96777437089538
6,성북,3,2,0,0,78,56,391,190,610,537,성북구,37.58989767143614,127.01625465308534
7,동대문,3,4,7,8,169,147,1240,659,1540,1295,동대문구,37.5850804205685,127.045762797538
8,마포,4,3,4,4,321,275,1510,730,1701,1367,마포구,37.5510118582052,126.95394117396
9,영등포,8,8,11,11,279,196,1712,831,2169,1731,영등포구,37.52585220719,126.90094457988
10,성동,3,4,4,1,110,82,905,497,1090,926,성동구,37.5617947420747,127.036472076258
11,동작,2,3,1,1,180,94,1129,675,1319,1056,동작구,37.5131469479959,126.942857105642
12,광진,5,3,4,4,208,161,1414,754,1456,1280,광진구,37.54292164557882,127.08396170505674
13,서부,2,3,1,1,66,50,706,400,782,677,은평구,37.60215667958602,126.92131688777927
14,강북,4,4,1,1,136,115,777,537,1383,1255,강북구,37.637406561393085,127.02733870040592
15,금천,7,6,3,4,134,103,1013,520,1282,1108,금천구,37.45725314643252,126.89674921449215
16,중랑,4,4,6,7,141,117,1399,835,1660,1442,중랑구,37.6182390801576,127.10454224897
17,강남,8,6,13,11,428,325,1517,737,1961,1699,강남구,37.5093899463715,127.067070541137
18,관악,8,4,7,6,321,269,1860,929,2248,1926,관악구,37.4745875338795,126.951062346192
19,강서,9,7,3,3,246,188,1540,921,2098,1925,강서구,37.5513470867979,126.849886071842
20,강동,3,3,6,6,124,103,1612,889,1713,1461,강동구,37.52867274661258,127.12688982770433
21,종암,1,1,2,2,40,32,504,284,782,683,성북구,37.603700560962736,127.04013000033655
22,구로,5,5,2,1,182,118,1390,770,1907,1537,구로구,37.5070387936593,126.890224925815
23,서초,9,9,5,5,265,191,1190,532,1488,1202,서초구,37.49561086789221,127.00528097622329
24,양천,1,1,3,3,116,92,1349,700,1546,1289,양천구,37.5165549067037,126.865542970902
25,송파,3,3,7,6,247,216,2024,995,2433,2046,송파구,37.5019757297179,127.12716129352492
26,노원,6,6,3,3,156,126,1361,654,1899,1513,노원구,37.6423345266253,127.071404832413
27,방배,0,0,0,0,47,37,313,159,339,304,서초구,37.48155944749938,126.98300906928465
28,은평,2,2,2,2,100,83,718,425,865,780,은평구,37.6285242467996,126.928631038584
29,도봉,2,2,2,1,72,64,772,376,1012,851,도봉구,37.65339041848567,127.05270598499145
30,수서,4,5,12,12,150,129,855,423,1198,1050,강남구,37.4934972653425,127.077143044327
